Year,Week,Department,Product_ID,Product_Description,Brand,Product_Group,Sales_Cost,Units_Sold,Total_Sales
2023,1,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,10552.4431578947,6,15253.51
2023,2,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1758.74052631579,1,2559.57
2023,2,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,22863.6268421053,13,33079.67
2023,3,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1758.74052631579,1,2843.97
2023,3,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12311.1836842105,7,18502.66
2023,4,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7034.96210526316,4,10686.2
2023,5,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,5348.73315789473,3,8014.65
2023,6,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,16154.9668421052,9,23776.8
2023,7,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3589.99263157894,2,5343.1
2023,8,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3589.99263157894,2,5343.1
2023,9,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,10475.6850254669,6,15494.99
2023,10,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,19097.5151612903,11,28852.75
2023,11,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12152.9641935484,7,17899.4
2023,12,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6944.55096774192,4,10393.27
2023,13,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,10417.3839089184,6,16374.14
2023,14,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3472.83294117648,2,5515.52
2023,15,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12154.9152941177,7,19218.11
2023,16,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1736.41647058824,1,2757.76
2023,17,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1736.41647058824,1,2637.16
2023,17,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3472.83294117648,2,5239.74
2023,18,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1770.4675862069,1,2930.17
2023,18,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12325.170872211,7,18339.09
2023,19,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1770.4675862069,1,2637.16
2023,19,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,15934.2082758621,9,23914.91
2023,20,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,10622.8055172414,6,16632.77
2023,21,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,7081.8703448276,4,11031.04
2023,22,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8758.09841079462,5,13375.13
2023,23,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,10340.0869565218,6,15995.0
2023,24,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,5170.04347826088,3,8273.28
2023,25,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8616.7391304348,5,13513.02
2023,26,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,13806.1624016563,8,22062.08
2023,27,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6970.91047619048,4,10755.26
2023,28,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3485.45523809524,2,5515.52
2023,29,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,15684.5485714286,9,24819.84
2023,30,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1742.72761904762,1,2757.76
2023,31,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,12287.3333333333,7,19304.32
2023,32,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8860.70476190475,5,13237.24
2023,33,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1772.14095238095,1,2637.16
2023,33,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8860.70476190475,5,13788.8
2023,34,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1772.14095238095,1,2930.17
2023,34,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3544.2819047619,2,5515.52
2023,35,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,5269.6319047619,3,8273.28
2023,36,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,5176.05,3,8273.28
2023,37,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6901.4,4,10755.26
2023,38,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,13802.8,8,21786.3
2023,39,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1725.35,1,2637.16
2023,39,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,5176.05,3,7997.5
2023,40,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8097.8387096774,5,13788.8
2023,41,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9717.40645161288,6,15805.3
2023,42,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,16195.6774193548,10,31746.52
2023,43,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9717.40645161288,6,15253.52
2023,44,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11464.2551267281,7,17838.85
2023,45,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11515.1675,7,17308.44
2023,46,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,9870.14357142858,6,15386.72
2023,47,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1645.02392857143,1,2490.65
2023,47,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3290.04785714286,2,5443.1
2023,48,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,8225.11964285715,5,13199.52
2023,49,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,16277.1967741935,10,26126.87
2023,50,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,6510.8787096774,4,10614.05
2023,51,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11394.0377419355,7,18506.54
2023,52,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,11394.0377419355,7,18098.32
2023,53,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,3255.4393548387,2,5170.95
2024,1,LINEA BLANCA,1338834,30KCILINDROGASDISA,DISA,CILINDRO DE GAS,1615.86846153846,1,2285.53
