Product_ID,Product_Description,Brand,Product_Group,Best_Model,Best_Price,Predicted_Units,Expected_Revenue,Model_R2,Price_Units_Correlation,RMSE,MAE
1370997,DDDM853-10LICUADORA10VELCROMO,OSTER,LICUADORA,XGBoost,1400,27,37727,1.0,0.5833057693989309,0.0015454566184029328,0.0011759987743950428
1585561,PSI51BB0PARRILLAGAS4QBCO,IEM,PARRILLA GAS MESA,XGBoost,1600,78,123897,0.9999745488166809,-0.5486047815625799,0.0820402267258131,0.05897225678422069
1667382,FFF004954-011-090VASOVIDCLATAPAYC,OSTER,REFACCIONES,XGBoost,303,13,3831,0.9999997615814209,0.4575999659920174,0.0017175377690167972,0.0013975143432617188
1707028,10KCILINDRODEGASDISA,DISA,CILINDRO DE GAS,XGBoost,1700,81,137158,0.999998152256012,-0.49838700280659387,0.05072740225449444,0.037680109038607766
1793779,WM1211DMICROONDAS1.1PSILVER,WHIRLPOOL,HORNO MICROONDAS,XGBoost,2200,466,1008859,0.9999867081642151,-0.5206932268042526,0.3379675573837434,0.24518841823548762
1814452,002523-013-000FUENTEDESODASVERDE,OSTER,CHOCOMILERA ELECTRIC,XGBoost,2300,131,297266,0.9999942779541016,-0.568191095019115,0.07596202941672167,0.055159961260282074
1850931,PAQARIELPAQPLANCHARIEL/MERCUYBURRO,TAURUS,PAQUETE ELECTRODOMES,XGBoost,482,197,95113,0.9999930262565613,-0.5764385663019342,0.09017690736423588,0.06534698355288907
2071695,UME0114MB/XAXMICROONDAS1.1PINOX,SAMSUNG,HORNO MICROONDAS,XGBoost,3000,9,27480,0.9999999403953552,-0.40519413426750966,0.0017602497660480422,0.0013145148754119874
2226990,SHTAW5300DESTUFA20PCERILLOGASINOX,ACROS,ESTUFA 20P CERILLO D,XGBoost,5400,12,66371,0.9999998807907104,-0.4054273298197692,0.0019070430635105497,0.0014488188662867556
2317805,RMA300FXMRQ0UT11SILVER,MABE,REF AUTOM 2PT 11FT,XGBoost,9000,50,448528,0.9999970197677612,-0.5565710717604181,0.038044003580524656,0.026794987249877153
2320355,FPSTRM2523R-013FUENTEDESODASROJA,OSTER,CHOCOMILERA ELECTRIC,XGBoost,2300,83,193874,0.9999925494194031,-0.40918232529953846,0.0684834186707751,0.0489460511971976
2329604,LRE19MLAVRED19KMORADA,EASY,LAV MANUAL 19KG A 21,XGBoost,3900,87,339882,0.9999915957450867,-0.4603159992810553,0.06747887043620382,0.04896375969166064
2365459,SHTALF1551EGLAVADORAREDONDA15KGRIS,ACROS,LAV MANUAL 15KG A 18,XGBoost,3300,94,312705,0.9999828338623047,-0.4610857512681017,0.08501334790119891,0.058682184952955976
2365460,ALF1551ERLAVADORAREDONDA15KROSA,ACROS,LAV MANUAL 15KG A 18,XGBoost,4000,23,93155,0.9999939203262329,-0.43455411011764583,0.02203886938164287,0.015331215563073623
2365462,ALF2253ECLAVADORAREDONDA22KROJA,ACROS,LAV MANUAL 22KG O MA,XGBoost,4100,160,647432,0.9999917149543762,-0.4747511944997336,0.09198383460055215,0.07108611914947743
2365463,ALF2253EGLAVADORAREDONDA22KGRIS,ACROS,LAV MANUAL 22KG O MA,XGBoost,3900,495,1908550,0.999995231628418,-0.42384065657567654,0.1469752554366651,0.10810309876012437
2377756,DDDAF5434DESTUFA30PGASENCELECGRI,ACROS,ESTUFA 30P ENC ELECT,XGBoost,5400,3,15146,0.9999999403953552,-0.4503634300332017,0.0018526035410211604,0.0014945300492016894
2380084,LMA71214VBABLAVADORA21KGBCO,MABE,LAV. AUTOM 21KG,XGBoost,9800,251,2465839,0.9999926090240479,-0.4612799302640019,0.08009917278615757,0.06202916653101681
2385662,WH7610SCAMPANA76CMINOX,WHIRLPOOL,CAMPANA,XGBoost,2700,18,47399,0.9999932646751404,-0.4774086871645995,0.017194625284368,0.012423779143661749
2419712,LMA79113VBAB0LAVAUTOM19KGBCO,MABE,LAV. AUTOM 19KG,XGBoost,8200,114,934590,0.9999847412109375,-0.48284243001361493,0.10900160659900666,0.08365516149997711
2453301,64699BATIDORAPEDESTAL3ACCE,HAMILTON BEACH,BATIDORA ELECTRICA,XGBoost,657,79,52058,0.999992847442627,-0.5438436311926922,0.049537090313315144,0.03569033879500169
2470699,MGE07SEJMICROONDAS0.7CUFTGEESP,G. E.,HORNO MICROONDAS,XGBoost,1700,112,186098,0.999987781047821,-0.48367970249223563,0.08855919889193682,0.06290507862586102
2492356,LMA76112CBAB0LAVAUT16KGBCO,MABE,LAV AUTOM 14KG A 17K,XGBoost,8300,36,297069,0.9999934434890747,-0.4975800582848152,0.021671448813455927,0.015244135489830604
2504164,RR63D6WGXREF1PTA7PSILVER,HISENSE,REF SEM 1PT 6FT A 9F,XGBoost,4100,547,2256394,0.9999957084655762,-0.6476196470906451,0.12967028928120594,0.09165472656715917
2520727,HKM-1000HORNOELECTRICO10LINOX,KOBLENZ,HORNO ELECTRICO,XGBoost,822,35,28696,0.9999959468841553,-0.40310751266253125,0.025776712919521466,0.019059870594231657
2525165,DDDEI5020BAPS0ESTUFAGAS20PSILVER,IEM,ESTUFA 20P CERILLO D,XGBoost,4400,15,65799,0.9999999403953552,0.44404533498125054,0.0017665584566371054,0.0014217651269578743
2544621,DDDHY2000APARRILAELECTRDOBLEMWBCO,RCA,HORNILLA ELECTRICA,XGBoost,382,39,14760,0.9999980926513672,0.4030311524448231,0.024511678689984277,0.018217641447687095
2548069,LMA72215CBAB0LAVADORA22KBCA,MABE,LAV. AUTOM 22KG,XGBoost,10600,141,1501602,0.9999977350234985,-0.47196219683692286,0.08520469942341302,0.06182578865808385
2564754,450010000LICUADORACLASIC1VVIDIN,OSTER,LICUADORA,XGBoost,1300,41,52672,0.9999905824661255,-0.4531507920702518,0.04553232296133801,0.03301356939169077
2595365,8MWTW1612MJQLAVAUT16KBCO,WHIRLPOOL,LAV AUTOM 14KG A 17K,XGBoost,6900,136,937449,0.9999916553497314,-0.6006351440420407,0.07267650081149143,0.05469935069712557
2595367,8MWTW1713MJQLAVAUT17KBCO,WHIRLPOOL,LAV AUTOM 14KG A 17K,XGBoost,6700,245,1646334,0.9999975562095642,-0.7045329285280169,0.053713797225967835,0.040646693503209784
2595368,8MWTW1813MJMLAVAUT18KBCO,WHIRLPOOL,LAV. AUTOM 18KG,XGBoost,8000,72,573449,0.999770998954773,-0.5538575272525886,0.39988133827177363,0.14774740203641928
2595369,8MWTW1823WJMLAVAUT18KBCO,WHIRLPOOL,LAV. AUTOM 18KG,XGBoost,8400,120,1008275,0.9999995231628418,-0.5637273063607509,0.049482414352132555,0.03529577874220335
2595371,8MWTW1934MJMLAVAUT19KBCO,WHIRLPOOL,LAV. AUTOM 19KG,XGBoost,9800,57,555922,0.9999926090240479,-0.4719526149665829,0.047652351310282025,0.03691012344713653
2595372,8MWTW2024MJMLAVAUT20KBCO,WHIRLPOOL,LAV. AUTOM 20KG,XGBoost,8900,110,982906,0.9999969005584717,-0.6391116876310606,0.06274850363389751,0.041680252741253566
2595374,8MWTW2231WJBLAVAUT22KBCO,WHIRLPOOL,LAV. AUTOM 22KG,XGBoost,12100,32,383635,0.9999970197677612,-0.5337874556844826,0.021570293931409745,0.016445900740412373
2609159,DDDGT32BDCREFRI11PSILVER,LG,REF AUTOM 2PT 11FT,XGBoost,8600,104,890203,0.9999995827674866,-0.5819817660174462,0.029800856711010813,0.02202258849966115
2619034,DDDEM7654BFIS1ESTUFADEPISO76CMPLA,MABE,ESTUFA 30P ENC ELECT,XGBoost,8300,22,185921,0.9999999403953552,0.4926191551709493,0.002419086250929601,0.0018857588707390479
2619053,DDDIR23972PLANCHAPEARLGLIDE,BLACK AND DECKER,PLANCHA,XGBoost,831,13,10885,0.9999999403953552,0.6949466535062184,0.00268177105205079,0.0019720648274277196
2628907,WFR3400DESTUFA30PEEGRIS,WHIRLPOOL,ESTUFA 30P ENC ELECT,XGBoost,6900,419,2898440,0.9999922513961792,-0.5403253834506965,0.12567851495572352,0.09620780617226171
2629386,CT680NGALICUAINTELSENSEKITCHSYST,NINJA,LICUADORA,XGBoost,5500,61,336334,0.9999997615814209,-0.48163034942634747,0.009184917068321594,0.006308510330946822
2629962,8MWTW2024WJMLAVAUT20KBCA/GRIS,WHIRLPOOL,LAV. AUTOM 20KG,XGBoost,8400,167,1393674,0.9999960660934448,-0.42292826519610877,0.09262899657510247,0.06813902671520526
2630983,BL1BKDMXINOXMINIPROCESACTIMIX,TEFAL,PROCESADOR ELECTRICO,XGBoost,1100,39,41751,0.9999721050262451,-0.4385231495977072,0.052063962275519626,0.03427535854279995
2634467,DDD40H5GNGO40PFHDSMARTTV,HISENSE,PANTALLAS 40 - 43 PU,XGBoost,6400,13,83666,1.0,0.49913007903528306,0.0012639186196553498,0.0010263540528037331
2636108,LMA78112CBAB0BCALAVAUT18K,MABE,LAV. AUTOM 18KG,XGBoost,7300,489,3568442,0.9999979138374329,-0.6304411880585541,0.07151481213529888,0.05112980695871206
2637778,PEKM-1000EGBCOHORNILLAELECTRICA1Q,KOBLENZ,HORNILLA ELECTRICA,XGBoost,185,79,14593,0.9999955296516418,-0.5294493442049648,0.05499476871526748,0.040117456712795575
2637781,LN283BMXGRISPOWERMIX2FUNCIONESV/VI,TEFAL,LICUADORA,XGBoost,419,264,110550,0.9999908208847046,-0.6469341908360295,0.09680425998055145,0.06907174059452902
2642437,LRKF21PLAVMAN21KTHALIA,KOBLENZ,LAV MANUAL 19KG A 21,XGBoost,3500,724,2518423,0.999995768070221,-0.6103390535227218,0.1946483245056273,0.1465203816654118
